Area,Area Type,Indicator,Indicator Type,Year,Year Type,Measure Type,Value,Rate
Renfrewshire,Council Area,Total Non-EU Registrations,NINo,2011,Calendar,Count,180,1.030337722
SCOTLAND,Council Area,Total Non-EU Registrations,NINo,2011,Calendar,Count,14470,2.730240193
Scottish Borders,Council Area,Total Non-EU Registrations,NINo,2011,Calendar,Count,80,0.702493853
Shetland Islands,Council Area,Total Non-EU Registrations,NINo,2011,Calendar,Count,30,1.290877797
South Ayrshire,Council Area,Total Non-EU Registrations,NINo,2011,Calendar,Count,100,0.885112409
South Lanarkshire,Council Area,Total Non-EU Registrations,NINo,2011,Calendar,Count,180,0.573431029
Stirling,Council Area,Total Non-EU Registrations,NINo,2011,Calendar,Count,270,2.989040186
West Dunbartonshire,Council Area,Total Non-EU Registrations,NINo,2011,Calendar,Count,50,0.551815473
West Lothian,Council Area,Total Non-EU Registrations,NINo,2011,Calendar,Count,130,0.741585853
Aberdeen City,Council Area,Total Non-EU Registrations,NINo,2012,Calendar,Count,1490,6.624872171
Aberdeenshire,Council Area,Total Non-EU Registrations,NINo,2012,Calendar,Count,150,0.586946314
Angus,Council Area,Total Non-EU Registrations,NINo,2012,Calendar,Count,50,0.430218551
Argyll and Bute,Council Area,Total Non-EU Registrations,NINo,2012,Calendar,Count,60,0.690369348
City of Edinburgh,Council Area,Total Non-EU Registrations,NINo,2012,Calendar,Count,3150,6.52673891
Clackmannanshire,Council Area,Total Non-EU Registrations,NINo,2012,Calendar,Count,30,0.585023401
Dumfries and Galloway,Council Area,Total Non-EU Registrations,NINo,2012,Calendar,Count,70,0.464067887
Dundee City,Council Area,Total Non-EU Registrations,NINo,2012,Calendar,Count,390,2.639058059
East Ayrshire,Council Area,Total Non-EU Registrations,NINo,2012,Calendar,Count,30,0.244439012
East Dunbartonshire,Council Area,Total Non-EU Registrations,NINo,2012,Calendar,Count,50,0.472232716
East Lothian,Council Area,Total Non-EU Registrations,NINo,2012,Calendar,Count,70,0.694031331
East Renfrewshire,Council Area,Total Non-EU Registrations,NINo,2012,Calendar,Count,40,0.439367311
Falkirk,Council Area,Total Non-EU Registrations,NINo,2012,Calendar,Count,80,0.510204082
Fife,Council Area,Total Non-EU Registrations,NINo,2012,Calendar,Count,440,1.201496409
Glasgow City,Council Area,Total Non-EU Registrations,NINo,2012,Calendar,Count,3290,5.528761322
